,,,,IMG,,UTM,,,,,,,,
ID,CAMERA,FILE,COLOR,X,Y,X,Y,,,,,,,
56,CAM6,20260526_0800,V,1197,2104,"706291,166","4216988,325",,,,,,,
57,CAM6,20260526_0800,A,1672,2016,"706297,706","4216993,177",,,,,,,
58,CAM6,20260526_0800,A,773,2265,"706287,121","4216982,053",,,,,,,
59,CAM6,20260526_0800,A,1451,2207,"706293,04","4216982,756",,,,,,,
60,CAM6,20260526_0800,V,2021,2155,"706299,268","4216983,59",,,,,,,
61,CAM6,20260526_0800,V,2734,2014,"706311,9","4216989,886",,,,,,,
62,CAM6,20260526_0800,A,2852,2137,"706309,008","4216982,584",,,,,,,
63,CAM6,20260526_0800,A,3248,2042,"706318,171","4216986,564",,,,,,,
64,CAM6,20260526_0800,V,2458,1615,"706350,567","4217075,817",,,,,,,
65,CAM6,20260526_0810,A,2804,1673,"706348,51","4217045,878",,,,,,,
66,CAM6,20260526_0810,A,3105,1700,"706350,49","4217032,054",,,,,,,
67,CAM6,20260526_0810,A,3840,1840,"706344,482","4217000,205",,,,,,,
68,CAM6,20260526_0810,A,4360,1910,"706345,759","4216990,158",,,,,,,
69,CAM6,20260526_0810,V,2933,2001,"706315,607","4216990,205",,,,,,,
